id,name,popularity,weighted degree,eccentricity,closeness,harmonic closeness,betweeness,eigenvector
4SsVbpTthjScTS7U2hmr1X,Arcángel,86,192.0,4.0,0.4319419237749546,0.48991596638655405,0.10945692186581824,1.0
7iK8PXO48WeuP03g8YR51W,Myke Towers,87,138.0,5.0,0.42515183994283673,0.47359943977590946,0.056763707817806,0.7997423673076818
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,81,145.0,5.0,0.42094092677750267,0.47282913165266016,0.06173550963989143,0.8349860044281803
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,79,160.0,5.0,0.4207920792079208,0.47633053221288413,0.059098512572385874,0.9335775436858537
2R21vXR83lH98kGeO99Y66,Anuel AA,89,136.0,4.0,0.416958654519972,0.4664565826330524,0.07067986823837936,0.8291889849505197
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98,99.0,5.0,0.4102033781454671,0.45658263305322,0.048329587358731385,0.6262056633851272
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,78,82.0,5.0,0.40683760683760684,0.44803921568627264,0.013083692951654836,0.6830321875969552
1bAftSH8umNcGZ0uyV7LMg,Duki,81,149.0,5.0,0.4033898305084746,0.4546918767506976,0.13565538193538482,0.45951330689661507
4obzFoKoKRHIphyHzJ35G3,Becky G,77,90.0,5.0,0.39759438690277316,0.44637254901960505,0.09121168207916394,0.44952724589092985
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,89,91.0,4.0,0.39600665557404324,0.432563025210081,0.04778923102355178,0.2837263080610195
