spotify_id,name,country
2R21vXR83lH98kGeO99Y66,Anuel AA,Stati Uniti d'America
4SsVbpTthjScTS7U2hmr1X,Arcángel,Stati Uniti d'America
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Stati Uniti d'America
2C6i0I5RiGzDKN9IAF8reh,Banda MS,Messico
0v7JYEoQOQbzNNESKwxmzT,Banda Tierra Sagrada,Messico
5QS9NAK4AgJPTcRe472pZA,BB Trickz,Spagna
4obzFoKoKRHIphyHzJ35G3,Becky G,Stati Uniti d'America
0cr0zp1CI5bVOrXaVzfpUI,bic,Argentina
716NhGYqD1jl2wI1Qkgq36,Bizarrap,Argentina
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,Argentina
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,Cile
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Stati Uniti d'America
1bAftSH8umNcGZ0uyV7LMg,Duki,Argentina
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrión,Stati Uniti d'America
0AqlFI0tz2DsEoJlKSIiT9,Emilia Mernes,Argentina
0XeEobZplHxzM9QzFQWLiR,Eslabón Armado,Messico
2LRoIwlKmHjgvigdNGBHNo,Feid,Colombia
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,Stati Uniti d'America
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,Messico
1dKdetem2xEmjgvyymzytS,Grupo Firme,Messico
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,Messico
7Gi6gjaWy3DxyilpF1a8Is,Junior H,Messico
790FomKkXshlbRYZFtlgla,Karol G,Colombia
4m6ubhNsdwF4psNf3R8kwR,Khea,Argentina
49EE6lVLgU8sp7dFgPshgM,La Adictiva,Messico
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón,Messico
4IRXvbsbSP4oHm4adUdQlt,Laura sad,Unknown
4UqfXEVibVEPfoopm7Pduc,Los 2 de la S,Messico
0pePYDrJGk8gqMRbXrLJC8,Luis R. Conriquez,Messico
19HM5j0ULGSmEoRcrSe5x3,Milo J,Argentina
0Q8NcsJwoCbZOHHW63su5S,Mora,Stati Uniti d'America
7iK8PXO48WeuP03g8YR51W,Myke Towers,Stati Uniti d'America
0elWFr7TW8piilVRYJUe4P,Natanael Cano,Messico
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,Argentina
3l9G1G9MxH6DaRhwLklaf5,Óscar Maydon,Messico
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Stati Uniti d'America
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,Argentina
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Messico
52iwsT98xCoGgiGntTiR7K,Quevedo,Spagna
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Stati Uniti d'America
04mTej6RpWzBxGwhfThpIi,Rojuu,Spagna
3QchzUOTSCKWmaRGEEiuir,Saramalacara,Argentina
77ziqFxp5gaInVrF2lj4ht,Sech,Panama
0GM7qgcRCORpGnfcN2tCiB,Tainy,Stati Uniti d'America
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,Messico
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,Stati Uniti d'America
3qsKSpcV3ncke3hw52JSMB,Young Miko,Stati Uniti d'America
4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI,Stati Uniti d'America
1KUm2LsC3HnPKHvIoo4cKu,Ysrael Barajas,Messico
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,Stati Uniti d'America
12lHTAdc9T204lw5qPtasv,Foreign Teck,Stati Uniti d'America
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,Colombia
5VdG4Pm8hryqK7jAkdFlIo,Cheo Gallego,Unknown
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,Repubblica Dominicana
5rHC8VSODpT9V7a8ZQu1h6,ORO600,Unknown
0vd9wwMIQeKaNQsaHUbcl2,Arsenal De Guerra,Unknown
2YTyoyU90b3CF5x91YjVaQ,Playero,Unknown
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,Unknown
6LOvxDn71T0wWhCDNcXcUj,Banda Carnaval,Messico
55Aa2cqylxrFIXC767Z865,Lil Wayne,Stati Uniti d'America
