source,target
329e4yvIujISKGKz1BZZbO,1pgDilWYDWLoOgGjf1iHNu
4axKuDPr6WKcDCyh8vueTY,47MpMsUfWtgyIIBEFOr4FE
2R21vXR83lH98kGeO99Y66,3m5qlPf2OkihLz3dRYnkPA
1TA5sGRlKUJXBN4ZyJuDIX,0Tyf4eMcgHNc7xTDFe9Yqs
4riOEaOW5hCeqomFDBk0aP,2R21vXR83lH98kGeO99Y66
4axKuDPr6WKcDCyh8vueTY,4cYbf45YbZptNISnhay0xH
70u0ytxL7TpF1Kdc2HFyM2,2R21vXR83lH98kGeO99Y66
2v2UIkZpgupzvSNS9wicgV,4UhDECNxyqKv0Cn0sua1MC
6w9ToX5slZ4uIdmD17hJ3c,2YRyPiW98bpkARAS4B3OQP
6TKygPpVT29oGUogu4J9Ec,4axKuDPr6WKcDCyh8vueTY
17SY5q1CMOZJBRuPcKWwPI,7GQDI5Vmxs92RsIRZzYT11
4IMAo2UQchVFyPH24PAjUs,4ncaw2cfA3Wlly1tBD2eWt
2T1aUibqR2QC2sINIDQOAK,52iwsT98xCoGgiGntTiR7K
2R21vXR83lH98kGeO99Y66,18dspUI6gqabm5XCC2RcUD
70u0ytxL7TpF1Kdc2HFyM2,0pePYDrJGk8gqMRbXrLJC8
2R21vXR83lH98kGeO99Y66,6TKygPpVT29oGUogu4J9Ec
2R21vXR83lH98kGeO99Y66,0ys2OFYzWYB5hRDLCsBqxt
4s6Xg38sbqh4xpf4OqhVUK,2R21vXR83lH98kGeO99Y66
2R21vXR83lH98kGeO99Y66,6nVcHLIgY5pE2YCl8ubca1
1TA5sGRlKUJXBN4ZyJuDIX,4s6Xg38sbqh4xpf4OqhVUK
1i8SpTcr7yvPOmcqrbnVXY,64aJYyrXljOodnUG6jvhRD
790FomKkXshlbRYZFtlgla,1i8SpTcr7yvPOmcqrbnVXY
2R21vXR83lH98kGeO99Y66,3i6lAgVHplDXb6zrjIeBeK
2R21vXR83lH98kGeO99Y66,790FomKkXshlbRYZFtlgla
1r3tpVQ08jFAA2P4xzV5o4,4axKuDPr6WKcDCyh8vueTY
2R21vXR83lH98kGeO99Y66,4aSlfXDn9R60UlbZEboBUy
4UhDECNxyqKv0Cn0sua1MC,6LGGOg5XbaaB5cBo7HR61a
2R21vXR83lH98kGeO99Y66,0eHQ9o50hj6ZDNBt6Ys1sD
0eHQ9o50hj6ZDNBt6Ys1sD,12vb80Km0Ew53ABfJOepVz
1i8SpTcr7yvPOmcqrbnVXY,2T1aUibqR2QC2sINIDQOAK
2R21vXR83lH98kGeO99Y66,2YRyPiW98bpkARAS4B3OQP
2R21vXR83lH98kGeO99Y66,1r4hJ1h58CWwUQe3MxPuau
3i6lAgVHplDXb6zrjIeBeK,4cYbf45YbZptNISnhay0xH
2R21vXR83lH98kGeO99Y66,1TA5sGRlKUJXBN4ZyJuDIX
7bawudKqKlcw3ZwLpI5FWu,2R21vXR83lH98kGeO99Y66
0pePYDrJGk8gqMRbXrLJC8,2R21vXR83lH98kGeO99Y66
1GKIlPFdcewHtpDVCQ8zmJ,6nVcHLIgY5pE2YCl8ubca1
1ZbuFVK9SeRYrZfQLkNzah,4ncaw2cfA3Wlly1tBD2eWt
2R21vXR83lH98kGeO99Y66,5XJDexmWFLWOkjOEjOVX3e
2R21vXR83lH98kGeO99Y66,0VRj0yCOv2FXJNP47XQnx5
4UhDECNxyqKv0Cn0sua1MC,0Tyf4eMcgHNc7xTDFe9Yqs
1i8SpTcr7yvPOmcqrbnVXY,2R21vXR83lH98kGeO99Y66
2R21vXR83lH98kGeO99Y66,1ZbuFVK9SeRYrZfQLkNzah
33ScadVnbm2X8kkUqOkC6Z,2R21vXR83lH98kGeO99Y66
4VMYDCV2IEDYJArk749S6m,1i8SpTcr7yvPOmcqrbnVXY
2R21vXR83lH98kGeO99Y66,2KtMll7bpqySnZhr8wriRE
3i6lAgVHplDXb6zrjIeBeK,4UhDECNxyqKv0Cn0sua1MC
2R21vXR83lH98kGeO99Y66,55Aa2cqylxrFIXC767Z865
4VMYDCV2IEDYJArk749S6m,790FomKkXshlbRYZFtlgla
2R21vXR83lH98kGeO99Y66,47MpMsUfWtgyIIBEFOr4FE
64KEffDW9EtZ1y2vBYgq8T,2R21vXR83lH98kGeO99Y66
52iwsT98xCoGgiGntTiR7K,1r4hJ1h58CWwUQe3MxPuau
2R21vXR83lH98kGeO99Y66,4cYbf45YbZptNISnhay0xH
2R21vXR83lH98kGeO99Y66,64aJYyrXljOodnUG6jvhRD
17SY5q1CMOZJBRuPcKWwPI,4s6Xg38sbqh4xpf4OqhVUK
2R21vXR83lH98kGeO99Y66,3SUT1jjM5hzZj9TLfLZGIP
2R21vXR83lH98kGeO99Y66,7GQDI5Vmxs92RsIRZzYT11
64aJYyrXljOodnUG6jvhRD,52iwsT98xCoGgiGntTiR7K
2v2UIkZpgupzvSNS9wicgV,6LGGOg5XbaaB5cBo7HR61a
2R21vXR83lH98kGeO99Y66,4VMYDCV2IEDYJArk749S6m
2R21vXR83lH98kGeO99Y66,3EiLUeyEcA6fbRPSHkG5kb
7MNP6nVHIDvPCRvfCeAJpF,4aSlfXDn9R60UlbZEboBUy
2R21vXR83lH98kGeO99Y66,7j6DKwmjbxvpQO8h914uEz
2R21vXR83lH98kGeO99Y66,4IMAo2UQchVFyPH24PAjUs
7iK8PXO48WeuP03g8YR51W,6nVcHLIgY5pE2YCl8ubca1
2R21vXR83lH98kGeO99Y66,2T1aUibqR2QC2sINIDQOAK
7MNP6nVHIDvPCRvfCeAJpF,2R21vXR83lH98kGeO99Y66
2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD
2R21vXR83lH98kGeO99Y66,1i8SpTcr7yvPOmcqrbnVXY
2R21vXR83lH98kGeO99Y66,4UhDECNxyqKv0Cn0sua1MC
4s6Xg38sbqh4xpf4OqhVUK,4axKuDPr6WKcDCyh8vueTY
2R21vXR83lH98kGeO99Y66,7iK8PXO48WeuP03g8YR51W
47MpMsUfWtgyIIBEFOr4FE,6w9ToX5slZ4uIdmD17hJ3c
2v2UIkZpgupzvSNS9wicgV,0Tyf4eMcgHNc7xTDFe9Yqs
2R21vXR83lH98kGeO99Y66,6LGGOg5XbaaB5cBo7HR61a
1WMwuNKzEFtU6pPkdtryYS,12vb80Km0Ew53ABfJOepVz
2cPqdH7XMvwaBJEVjheH8g,6w9ToX5slZ4uIdmD17hJ3c
2DlGxzQSjYe5N6G9nkYghR,2R21vXR83lH98kGeO99Y66
2R21vXR83lH98kGeO99Y66,37230BxxYs9ksS7OkZw3IU
1GKIlPFdcewHtpDVCQ8zmJ,7j6DKwmjbxvpQO8h914uEz
1pgDilWYDWLoOgGjf1iHNu,7qYeIN2r4H1kBvr0Gm9Iav
7MNP6nVHIDvPCRvfCeAJpF,2KtMll7bpqySnZhr8wriRE
2R21vXR83lH98kGeO99Y66,1SupJlEpv7RS2tPNRaHViT
2R21vXR83lH98kGeO99Y66,4axKuDPr6WKcDCyh8vueTY
1TA5sGRlKUJXBN4ZyJuDIX,2v2UIkZpgupzvSNS9wicgV
2R21vXR83lH98kGeO99Y66,7y5vacxuCM2lyUEEPnQcwd
2T1aUibqR2QC2sINIDQOAK,1r4hJ1h58CWwUQe3MxPuau
2R21vXR83lH98kGeO99Y66,1WMwuNKzEFtU6pPkdtryYS
2R21vXR83lH98kGeO99Y66,3E6xrwgnVfYCrCs0ePERDz
2R21vXR83lH98kGeO99Y66,0Tyf4eMcgHNc7xTDFe9Yqs
2R21vXR83lH98kGeO99Y66,329e4yvIujISKGKz1BZZbO
2R21vXR83lH98kGeO99Y66,4CQdcx66F116k2db2Y0rjE
6nVcHLIgY5pE2YCl8ubca1,2R21vXR83lH98kGeO99Y66
64aJYyrXljOodnUG6jvhRD,1r4hJ1h58CWwUQe3MxPuau
2R21vXR83lH98kGeO99Y66,0Q8NcsJwoCbZOHHW63su5S
1GKIlPFdcewHtpDVCQ8zmJ,2R21vXR83lH98kGeO99Y66
4aSlfXDn9R60UlbZEboBUy,2KtMll7bpqySnZhr8wriRE
33ScadVnbm2X8kkUqOkC6Z,37230BxxYs9ksS7OkZw3IU
5hdhHgpxyniooUiQVaPxQ0,2R21vXR83lH98kGeO99Y66
1r3tpVQ08jFAA2P4xzV5o4,6w9ToX5slZ4uIdmD17hJ3c
4s6Xg38sbqh4xpf4OqhVUK,3E12tRURRvPfHz0hAMCFYc
1GKIlPFdcewHtpDVCQ8zmJ,37230BxxYs9ksS7OkZw3IU
3S9Hg7sRKhmtWunFZ2yAYP,1rTUwYS38LkQTlT2fhikch
1TA5sGRlKUJXBN4ZyJuDIX,3m5qlPf2OkihLz3dRYnkPA
2R21vXR83lH98kGeO99Y66,7qYeIN2r4H1kBvr0Gm9Iav
2R21vXR83lH98kGeO99Y66,1pgDilWYDWLoOgGjf1iHNu
3i6lAgVHplDXb6zrjIeBeK,6LGGOg5XbaaB5cBo7HR61a
1fux65HMCBvfJHqlBc4Nno,2R21vXR83lH98kGeO99Y66
0ys2OFYzWYB5hRDLCsBqxt,2R21vXR83lH98kGeO99Y66
2R21vXR83lH98kGeO99Y66,4s6Xg38sbqh4xpf4OqhVUK
4axKuDPr6WKcDCyh8vueTY,6w9ToX5slZ4uIdmD17hJ3c
4axKuDPr6WKcDCyh8vueTY,3E12tRURRvPfHz0hAMCFYc
1TA5sGRlKUJXBN4ZyJuDIX,18dspUI6gqabm5XCC2RcUD
1TA5sGRlKUJXBN4ZyJuDIX,6TKygPpVT29oGUogu4J9Ec
4CQdcx66F116k2db2Y0rjE,6w9ToX5slZ4uIdmD17hJ3c
2R21vXR83lH98kGeO99Y66,7qG3b048QCHVRO5Pv1T5lw
790FomKkXshlbRYZFtlgla,1vyhD5VmyZ7KMfW5gqLgo5
2R21vXR83lH98kGeO99Y66,0KKUc4amZyvswV2YL6WTar
3i6lAgVHplDXb6zrjIeBeK,0Tyf4eMcgHNc7xTDFe9Yqs
6LGGOg5XbaaB5cBo7HR61a,0Tyf4eMcgHNc7xTDFe9Yqs
1TA5sGRlKUJXBN4ZyJuDIX,3i6lAgVHplDXb6zrjIeBeK
