source,target,weight
2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD,6
17SY5q1CMOZJBRuPcKWwPI,1TA5sGRlKUJXBN4ZyJuDIX,1
0Tyf4eMcgHNc7xTDFe9Yqs,6LGGOg5XbaaB5cBo7HR61a,1
2R21vXR83lH98kGeO99Y66,3E12tRURRvPfHz0hAMCFYc,1
1TA5sGRlKUJXBN4ZyJuDIX,4s6Xg38sbqh4xpf4OqhVUK,1
1Cs0zKBU1kc0i8ypK3B9ai,2R21vXR83lH98kGeO99Y66,1
0KKUc4amZyvswV2YL6WTar,2R21vXR83lH98kGeO99Y66,1
0ys2OFYzWYB5hRDLCsBqxt,3S9Hg7sRKhmtWunFZ2yAYP,2
2R21vXR83lH98kGeO99Y66,6nVcHLIgY5pE2YCl8ubca1,2
2R21vXR83lH98kGeO99Y66,4axKuDPr6WKcDCyh8vueTY,3
2R21vXR83lH98kGeO99Y66,3E6xrwgnVfYCrCs0ePERDz,2
6nVcHLIgY5pE2YCl8ubca1,7iK8PXO48WeuP03g8YR51W,3
1vyhD5VmyZ7KMfW5gqLgo5,790FomKkXshlbRYZFtlgla,4
1rTUwYS38LkQTlT2fhikch,2R21vXR83lH98kGeO99Y66,2
2R21vXR83lH98kGeO99Y66,3l9G1G9MxH6DaRhwLklaf5,2
4cYbf45YbZptNISnhay0xH,6TKygPpVT29oGUogu4J9Ec,1
2R21vXR83lH98kGeO99Y66,3SUT1jjM5hzZj9TLfLZGIP,1
2R21vXR83lH98kGeO99Y66,7qG3b048QCHVRO5Pv1T5lw,1
2R21vXR83lH98kGeO99Y66,4r63FhuTkUYltbVAg5TQnk,1
2R21vXR83lH98kGeO99Y66,4CQdcx66F116k2db2Y0rjE,1
1TA5sGRlKUJXBN4ZyJuDIX,3m5qlPf2OkihLz3dRYnkPA,4
2R21vXR83lH98kGeO99Y66,7qYeIN2r4H1kBvr0Gm9Iav,1
0Tyf4eMcgHNc7xTDFe9Yqs,2v2UIkZpgupzvSNS9wicgV,1
00XhexlJEXQstHimpZN910,2R21vXR83lH98kGeO99Y66,1
1GKIlPFdcewHtpDVCQ8zmJ,37230BxxYs9ksS7OkZw3IU,1
37230BxxYs9ksS7OkZw3IU,6nVcHLIgY5pE2YCl8ubca1,1
1GKIlPFdcewHtpDVCQ8zmJ,6nVcHLIgY5pE2YCl8ubca1,1
1r4hJ1h58CWwUQe3MxPuau,64aJYyrXljOodnUG6jvhRD,3
4UhDECNxyqKv0Cn0sua1MC,6LGGOg5XbaaB5cBo7HR61a,1
52iwsT98xCoGgiGntTiR7K,64aJYyrXljOodnUG6jvhRD,3
21451j1KhjAiaYKflxBjr1,2R21vXR83lH98kGeO99Y66,1
3EiLUeyEcA6fbRPSHkG5kb,4ncaw2cfA3Wlly1tBD2eWt,1
4axKuDPr6WKcDCyh8vueTY,6TKygPpVT29oGUogu4J9Ec,1
2R21vXR83lH98kGeO99Y66,4s6Xg38sbqh4xpf4OqhVUK,2
0elWFr7TW8piilVRYJUe4P,2R21vXR83lH98kGeO99Y66,2
1r3tpVQ08jFAA2P4xzV5o4,6w9ToX5slZ4uIdmD17hJ3c,1
0eHQ9o50hj6ZDNBt6Ys1sD,1WMwuNKzEFtU6pPkdtryYS,1
17SY5q1CMOZJBRuPcKWwPI,2R21vXR83lH98kGeO99Y66,1
0ys2OFYzWYB5hRDLCsBqxt,2R21vXR83lH98kGeO99Y66,4
3i6lAgVHplDXb6zrjIeBeK,6LGGOg5XbaaB5cBo7HR61a,1
2R21vXR83lH98kGeO99Y66,7iK8PXO48WeuP03g8YR51W,1
1r4hJ1h58CWwUQe3MxPuau,2R21vXR83lH98kGeO99Y66,2
1i8SpTcr7yvPOmcqrbnVXY,2R21vXR83lH98kGeO99Y66,7
0pePYDrJGk8gqMRbXrLJC8,70u0ytxL7TpF1Kdc2HFyM2,3
2cPqdH7XMvwaBJEVjheH8g,6w9ToX5slZ4uIdmD17hJ3c,1
2R21vXR83lH98kGeO99Y66,5hdhHgpxyniooUiQVaPxQ0,1
2R21vXR83lH98kGeO99Y66,3S9Hg7sRKhmtWunFZ2yAYP,2
2v2UIkZpgupzvSNS9wicgV,3i6lAgVHplDXb6zrjIeBeK,1
1ZbuFVK9SeRYrZfQLkNzah,2R21vXR83lH98kGeO99Y66,1
1TA5sGRlKUJXBN4ZyJuDIX,2R21vXR83lH98kGeO99Y66,2
2R21vXR83lH98kGeO99Y66,55Aa2cqylxrFIXC767Z865,1
1fux65HMCBvfJHqlBc4Nno,4axKuDPr6WKcDCyh8vueTY,1
2R21vXR83lH98kGeO99Y66,3m5qlPf2OkihLz3dRYnkPA,1
2R21vXR83lH98kGeO99Y66,37230BxxYs9ksS7OkZw3IU,2
1pgDilWYDWLoOgGjf1iHNu,2R21vXR83lH98kGeO99Y66,1
1GKIlPFdcewHtpDVCQ8zmJ,2R21vXR83lH98kGeO99Y66,1
4axKuDPr6WKcDCyh8vueTY,7MNP6nVHIDvPCRvfCeAJpF,2
2R21vXR83lH98kGeO99Y66,4aSlfXDn9R60UlbZEboBUy,2
0VRj0yCOv2FXJNP47XQnx5,2R21vXR83lH98kGeO99Y66,1
4CQdcx66F116k2db2Y0rjE,6w9ToX5slZ4uIdmD17hJ3c,2
1vyhD5VmyZ7KMfW5gqLgo5,4VMYDCV2IEDYJArk749S6m,4
0Tyf4eMcgHNc7xTDFe9Yqs,2R21vXR83lH98kGeO99Y66,1
2KtMll7bpqySnZhr8wriRE,7MNP6nVHIDvPCRvfCeAJpF,2
17SY5q1CMOZJBRuPcKWwPI,7GQDI5Vmxs92RsIRZzYT11,1
2R21vXR83lH98kGeO99Y66,790FomKkXshlbRYZFtlgla,2
3E12tRURRvPfHz0hAMCFYc,4axKuDPr6WKcDCyh8vueTY,1
1fux65HMCBvfJHqlBc4Nno,4s6Xg38sbqh4xpf4OqhVUK,1
12vb80Km0Ew53ABfJOepVz,46SHBwWsqBkxI7EeeBEQG7,1
47MpMsUfWtgyIIBEFOr4FE,4axKuDPr6WKcDCyh8vueTY,1
1pgDilWYDWLoOgGjf1iHNu,7qYeIN2r4H1kBvr0Gm9Iav,1
2KtMll7bpqySnZhr8wriRE,2R21vXR83lH98kGeO99Y66,2
12vb80Km0Ew53ABfJOepVz,1WMwuNKzEFtU6pPkdtryYS,2
1TA5sGRlKUJXBN4ZyJuDIX,4UhDECNxyqKv0Cn0sua1MC,1
3i6lAgVHplDXb6zrjIeBeK,4cYbf45YbZptNISnhay0xH,1
2R21vXR83lH98kGeO99Y66,7bawudKqKlcw3ZwLpI5FWu,1
4s6Xg38sbqh4xpf4OqhVUK,7GQDI5Vmxs92RsIRZzYT11,1
0eHQ9o50hj6ZDNBt6Ys1sD,2R21vXR83lH98kGeO99Y66,3
1TA5sGRlKUJXBN4ZyJuDIX,7GQDI5Vmxs92RsIRZzYT11,1
1TA5sGRlKUJXBN4ZyJuDIX,6LGGOg5XbaaB5cBo7HR61a,1
1TA5sGRlKUJXBN4ZyJuDIX,3i6lAgVHplDXb6zrjIeBeK,1
1r3tpVQ08jFAA2P4xzV5o4,4axKuDPr6WKcDCyh8vueTY,1
0eHQ9o50hj6ZDNBt6Ys1sD,12vb80Km0Ew53ABfJOepVz,3
2R21vXR83lH98kGeO99Y66,47MpMsUfWtgyIIBEFOr4FE,1
6nVcHLIgY5pE2YCl8ubca1,7j6DKwmjbxvpQO8h914uEz,1
0Tyf4eMcgHNc7xTDFe9Yqs,3i6lAgVHplDXb6zrjIeBeK,1
0VRj0yCOv2FXJNP47XQnx5,64aJYyrXljOodnUG6jvhRD,1
2R21vXR83lH98kGeO99Y66,64KEffDW9EtZ1y2vBYgq8T,1
2R21vXR83lH98kGeO99Y66,64aJYyrXljOodnUG6jvhRD,3
1i8SpTcr7yvPOmcqrbnVXY,64aJYyrXljOodnUG6jvhRD,2
33ScadVnbm2X8kkUqOkC6Z,37230BxxYs9ksS7OkZw3IU,1
4aSlfXDn9R60UlbZEboBUy,4axKuDPr6WKcDCyh8vueTY,4
2R21vXR83lH98kGeO99Y66,4exLIFE8sISLr28sqG1qNX,1
