id,name,popularity,genres
2R21vXR83lH98kGeO99Y66,Anuel AA,89,reggaeton;trap latino;urbano latino;latin
4SsVbpTthjScTS7U2hmr1X,Arcángel,86,reggaeton;trap latino;urbano latino
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98,reggaeton;trap latino;urbano latino;latin
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,81,banda;norteño;grupera;música mexicana;ranchera;corrido
0v7JYEoQOQbzNNESKwxmzT,Banda Tierra Sagrada,62,banda;corrido
5QS9NAK4AgJPTcRe472pZA,Bb trickz,62,
4obzFoKoKRHIphyHzJ35G3,Becky G,77,reggaeton;latin
0cr0zp1CI5bVOrXaVzfpUI,bic,33,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,81,argentine trap;trap latino;urbano latino
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,76,argentine trap;trap latino;turreo
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,83,reggaeton chileno;chilean trap;chilean mambo;reggaeton
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,89,reggaeton;latin
1bAftSH8umNcGZ0uyV7LMg,Duki,81,argentine trap;trap;trap latino
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,81,trap latino;urbano latino
0AqlFI0tz2DsEoJlKSIiT9,Emilia,76,argentine trap
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,78,corridos tumbados;sad sierreño;corrido;sierreño;música mexicana;corridos bélicos
2LRoIwlKmHjgvigdNGBHNo,Feid,88,reggaeton;urbano latino
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,92,corrido;corridos tumbados;corridos bélicos;música mexicana;sierreño;banda;sad sierreño;electro corridos
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,82,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;electro corridos;sierreño;banda
1dKdetem2xEmjgvyymzytS,Grupo Firme,83,banda;corrido;norteño;sierreño;grupera;ranchera;música mexicana
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,86,cumbia norteña;banda;norteño;música mexicana;corrido;corridos tumbados;grupera;tejano;ranchera
7Gi6gjaWy3DxyilpF1a8Is,Junior H,90,corridos tumbados;corrido;corridos bélicos;sad sierreño;sierreño;música mexicana;banda
790FomKkXshlbRYZFtlgla,KAROL G,89,reggaeton;latin;urbano latino
4m6ubhNsdwF4psNf3R8kwR,KHEA,74,argentine trap;trap;trap latino
49EE6lVLgU8sp7dFgPshgM,La Adictiva,72,banda;norteño;grupera
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,83,banda;norteño;grupera
4IRXvbsbSP4oHm4adUdQlt,Laura sad,34,
4UqfXEVibVEPfoopm7Pduc,Los 2 de la S,57,banda;sierreño;norteño
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,83,corrido;corridos bélicos;corridos tumbados;electro corridos;dembow belico;banda;sierreño;sad sierreño;música mexicana
19HM5j0ULGSmEoRcrSe5x3,Milo j,85,argentine trap
0Q8NcsJwoCbZOHHW63su5S,Mora,83,urbano latino;trap latino;reggaeton
7iK8PXO48WeuP03g8YR51W,Myke Towers,87,reggaeton;trap latino;urbano latino
0elWFr7TW8piilVRYJUe4P,Natanael Cano,86,corridos tumbados;corrido;corridos bélicos;sierreño;sad sierreño;electro corridos;música mexicana;banda
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,75,argentine trap
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,84,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;sad sierreño;sierreño
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,89,reggaeton;trap latino;latin;urbano latino
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,77,argentine trap;trap latino;reggaeton
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,89,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;banda
52iwsT98xCoGgiGntTiR7K,Quevedo,84,
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,90,reggaeton;urbano latino;trap latino;latin
04mTej6RpWzBxGwhfThpIi,Rojuu,62,hyperpop
3QchzUOTSCKWmaRGEEiuir,Saramalacara,58,hyperpop;argentine trap
77ziqFxp5gaInVrF2lj4ht,Sech,80,reggaeton;urbano latino
0GM7qgcRCORpGnfcN2tCiB,Tainy,80,reggaeton
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,86,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;música mexicana
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,79,reggaeton;urbano latino;latin
3qsKSpcV3ncke3hw52JSMB,Young Miko,78,trap latino
4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI,70,trap latino;urbano latino
1KUm2LsC3HnPKHvIoo4cKu,Ysrael Barajas,63,electro corridos;corrido;corridos tumbados;corridos bélicos;dembow belico;sad sierreño
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,83,reggaeton;trap latino
12lHTAdc9T204lw5qPtasv,Foreign Teck,57,trap latino
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,85,reggaeton;urbano latino
5VdG4Pm8hryqK7jAkdFlIo,Cheo Gallego,49,
1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,73,reggaeton;latin;urbano latino;bachata
5rHC8VSODpT9V7a8ZQu1h6,ORO600,51,argentine trap
0vd9wwMIQeKaNQsaHUbcl2,Arsenal De Guerra,18,corrido;corridos bélicos
2YTyoyU90b3CF5x91YjVaQ,Playero,56,reggaeton
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,61,phonk;drift phonk
6LOvxDn71T0wWhCDNcXcUj,Banda Carnaval,63,banda;norteño
55Aa2cqylxrFIXC767Z865,Lil Wayne,88,rap;hip hop
029uS2pMvwk0TsIUTHkyyw,Amaro,55,reggaeton
4kYSro6naA4h99UJvo89HB,Cardi B,82,
7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,64,trap latino;reggaeton
6RPeBghYnSwGV6FOw7huuN,Esteban Gabriel,56,corridos tumbados;corrido;sad sierreño;sierreño;música mexicana
3BQAQ5pSX01pjomONRW4ty,Wise,44,reggaeton
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,84,reggaeton
4QFG9KrGWEbr6hNA58CAqE,Alemán,79,mexican hip hop;latin hip hop;electro corridos
5gpZDWWbuzTAEzPAGHcSqY,Santino Villarruel,34,
74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,66,
7H4WTvvOCWtAuj3gMoldrt,Fido,24,
2lcWprkQW6ehqKep82rWnC,Moffa,41,urbano latino
2ydZrTy8U3kOMOzx20s3dg,DJ Nelson,70,reggaeton
5xp0m6dRz284in9nArK60v,Octubre Doce,40,
0x5lhIYknBUEozHuXjkwUs,Galee Galee,56,chilean trap;reggaeton chileno;chilean mambo;mambo
2TzPi0fPdqVesjZ3Y2wY43,Orslok,45,hyperpop
7AUgYiThuW80zSOwY7Ub2g,El Mimoso Luis Antonio López,67,banda;norteño;grupera
66ihevNkSYNzRAl44dx6jJ,Carín León,85,banda;norteño;sierreño;corrido;ranchera;grupera;sad sierreño
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,83,reggaeton;latin
2KtMll7bpqySnZhr8wriRE,CDobleta,63,trap latino
3KdCAZSWpRrPO0GTPnzsYV,KARBeats,60,
7MNP6nVHIDvPCRvfCeAJpF,Pressure 9X19,59,trap latino
4WzBqbc7fxl2y8XrznMSqf,Candelita,37,
3aWnyANApsrS1yIpPu873P,Los Pikadientes De Caborca,42,cumbia norteña;cumbia;norteño;sierreño;música mexicana
09Hzsy5bgnADJzIVlYUoQ3,Los Minis de Caborca,51,corrido;corridos bélicos;sierreño;corridos tumbados
329e4yvIujISKGKz1BZZbO,Farruko,85,reggaeton;trap latino
3dC19P4w1BbDuwCailjybv,Nes,66,reggaeton chileno;chilean trap;reggaeton mexa;chilean mambo
1IxZyCzEKTCm8z7gSgyfTU,fish narc,40,emo rap;cloud rap
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,79,corrido;corridos tumbados;corridos bélicos;electro corridos;sad sierreño
2eqoJbzUGDwys5ENUkbT3h,J.I the Prince of N.Y,60,
0dUyjgCyjfj5eMx6bX2TWf,FMK,66,argentine trap
37BIBvfliXJpSgn10yQUJM,Mr. Naisgai,57,reggaeton
0IoWUuXfqpkfpxBRzthHU4,Codiciado,67,corrido;corridos bélicos;corridos tumbados;banda
6j3TVnrOKJQYWcX5YKLMkV,Ela Conem,23,
31VFEohvhOUKrtAONEBhMG,Kenia Os,71,reggaeton mexa
34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,58,
3nuuzbcB3ZdqrEQYqR2SQJ,Lui-G 21+,42,reggaeton
5CiGnKThu5ctn9pBxv7DGa,benny blanco,75,
4Enz9bGPvgSkKRLyLeQL43,Magicenelbeat,48,reggaeton chileno;chilean trap;chilean mambo
7C69hD7HaCYbhgrVqYiHXU,Natalie López,11,sad sierreño;corridos tumbados;corrido;sierreño
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,87,bachata;latin
7bawudKqKlcw3ZwLpI5FWu,Producto Sin Corte,39,trap latino
12m4a5ljGoe6yyYPpVi7Hr,E.VAX,49,
5U0j7qddH2BMJDF3NOXS96,DJ Ricky,20,salsa choke;merengue
5QcHBpoxrY7vx3ulMKEvTS,Chiquis,45,latin country;música mexicana;banda
1GKIlPFdcewHtpDVCQ8zmJ,Brray,72,reggaeton;urbano latino
01rgao9OzfBm2BOHWJpi1Y,Espinoza Paz,69,banda;ranchera;popular colombian music;norteño;grupera;mariachi
0aULg7LximLNhI6lLzxcXI,RØZ,66,electro corridos
0v4ZR80GST5lTyY4b6UEzR,DRED BEY,38,
1TtXnWcUs0FCkaZDPGYHdf,Darell,77,reggaeton;trap latino;dembow;urbano latino
0ocHleb3SllGNQQcDH35Xz,Herencia De Grandes,78,corrido;corridos bélicos
6goQbtqjPhPns8RVRXTyp7,Mda,52,hyperpop
3IYKcXI1sFqT1ZtfyoW55C,Knak,52,argentine trap
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,79,
035LjRuKfMDQ2Xtlb4gqB6,Adal,37,corridos tumbados;corrido;corridos bélicos
7gR53ad9JjCweCv4f9MWEX,Eddy Lover,67,reggaeton
2FzRIRtYVDBIJBvTqh7xzQ,Xiyo,64,neoperreo
4EcIU574ksr6mC1GMEOe0p,Midel,50,argentine trap;trap
5TcnuUD5MHBfd1cO4kweWD,Alex Favela,60,electro corridos;dembow belico;corrido;corridos tumbados;corridos bélicos
2PxnKk0fTNgMzm5pY6tINL,Yaisel LM,51,dembow
4y4uRSNiwurNnkWn9I0z7R,Plan de Escape,45,electro corridos;corrido;dembow belico;sierreño
33mpx3IrKw93IM1C8tVSQi,Lisan Beat,46,argentine trap
1XtR9vPQD6cjmHlR5PuHPu,Kevin AMF,70,electro corridos;dembow belico;corrido;corridos tumbados;reggaeton mexa;dembow;corridos bélicos
30CTTIqrcr82nS6B40j975,Robot95,60,mexican hip hop;latin hip hop
5LXWGcBr4mojJnf51Beuf6,Saga WhiteBlack,36,
6iyPY9ZvEGeB5mswBjwwNi,Alexis,41,hi-nrg
4kh6gKONPBfkCCd818b1PS,Daniel Vazquez,37,corrido;corridos bélicos;electro corridos;dembow belico;sierreño
4hH0kU21cZ8vbWNuRhXk7v,Tito Flow,43,
1RBzGO6Nm3uyhUSxP7EDWO,KEVIN ROLDAN,71,reggaeton;trap latino;urbano latino
2dHbjVgpO3NvzY8D7yZvji,Donaty,58,dembow
1QbKnLuatJMdjY8dFx7Nru,Nesty La Mente Maestra,39,
0ONc371uQqOdKkCwsrcp9Z,Clutchill,41,hyperpop
3CjPghA9sowRwFGSrU038J,Junkie Kid,56,hard techno;big room
43QAcxJuLK8pBo8yKn2Vgz,Juanillo Diaz,26,corridos tumbados;corrido
3PpJbrAbphauEun8Xf9tD2,Theodora,77,shatta;french rap
7pESOE4dEq8Yk4OKlJa3pS,Panter Bélico,70,corrido;corridos bélicos;corridos tumbados;banda;sierreño
6VcsqZOR5AtEOGeAtmutCZ,Esau Ortiz,65,electro corridos;dembow belico;corrido;corridos tumbados
2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,75,latin pop
0tR60pwxQ5WKjPxQcKoCQ7,Messiah,61,trap latino;dembow
5D7x9esAF6twPxuOqSMkeO,Justin Morales,51,corridos tumbados;corrido;corridos bélicos
1X6cBGnXpEpN7CmflLKmLV,Kizz Daniel,70,afrobeats;afrobeat;afropop;afropiano;hiplife;afro r&b
14CVFYbyTHSbffeB0iyoDI,Carlos Torres,19,corridos tumbados;corrido
7KqZWDfO2BUR5ijW9CBWPe,Chalko,29,
20qISvAhX20dpIbOOzGK3q,Nas,75,old school hip hop;east coast hip hop;hip hop
5kCv5opFav2P7nPl8FiEQx,Conep,54,trap latino
0TC8XvQTSQMh4beW43FsAH,Austin San,51,
0wTR1DXxJ3Ok60O4K4U9WT,Mir Nicolas,47,boom bap
4r63FhuTkUYltbVAg5TQnk,DaBaby,79,
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,77,reggaeton
16Juw2gfa9IxEL3Vu69cH7,Yaga & Mackie,63,reggaeton
4zOhMWD0LoBe2nP7s9cHhX,Joyce Santana,56,trap latino;urbano latino
0Yg29FX1M4ayqjXs0ttZFq,Young Cister,74,chilean trap;reggaeton chileno;chilean mambo
1E7XNYAEwSLSAiLDYRMs1G,Albert Hype,27,
4UhDECNxyqKv0Cn0sua1MC,CARABIN3,67,
0VRj0yCOv2FXJNP47XQnx5,Quavo,79,
6ubJLRTVzomuWIScbguoSY,Grupo Diez 4tro,50,corridos tumbados;corrido;corridos bélicos;sad sierreño;sierreño;música mexicana
1UjxAZqzphB1tsMb1aWBj0,Omega,65,mambo;merengue
46JHFFEjLKbXhMQsU5vSGm,Nito Mestre,34,argentine rock;nueva trova;trova
11YLRSsZA3YVuQQtHXKTlz,Rafa Pabön,66,reggaeton
7fT2Me47PQ8T7954PKrcwR,Bhavi,68,argentine trap;trap
4e5oZygHeeRoTXc00gYWiu,Danny Towers,52,
1FNMaRFSwlbHQnloS3QO1X,Eddy Goyen,18,
62U9TXZx2SxvIoxXHtHlzR,Mexicano,35,latin hip hop
2281RSmb2cN6knnt0Iarb2,Leo Rizzi,62,
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,67,
3CDoRporvSjdzTrm99a3gi,LUDMILLA,75,pagode;brazilian pop;funk pop;brazilian funk;pagode baiano;funk carioca
7cd0OMsXCsilwM1gwmJ5dF,Robbie Meza,11,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,91,soft pop
1FEYq0PPuI50GJRqKKPT6w,Leandro Ríos,56,norteño;banda;grupera;cumbia norteña;norteño-sax
5DMTLrpmTZO8GLDZ5Je1yT,Speedy,31,soca;bassline;calypso
4zTS87j9J5bBv0R9AEzeC7,Fend,46,electro corridos;dembow belico;corrido;corridos tumbados
2R7uy52biUCTdDH0OctTPU,Ed Maverick,38,sad sierreño;corridos tumbados
6UhGN5pVzgbBYjpqkxKM5F,lil joujou,39,trap latino;urbano latino
1yPvnL2XGGehNiOGWzcAAG,Dan Sanchez,63,corridos tumbados;corrido;electro corridos;corridos bélicos;dembow belico
2SNfNJDsahTSVFwgxposF5,Soge Culebra,59,
7cxq5jTv6N3KjPehEhnlXG,Alonso Ortiz,48,corridos tumbados;corrido;corridos bélicos
4GZOqR1Cx6YeBN2Lmv0B1e,Victor Garcia,57,grupera;banda;norteño
5SWXhtigdFs6Q9Wqri5ROo,Sintapia,49,electro corridos;dembow belico;corridos tumbados;corrido
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,pop
7aG8YUI5alfF2pi0n5Cg5H,Kris Floyd,54,trap latino
1NejZ771d4oSoEcD6qBAIA,Nueva Era,37,corridos tumbados;corrido
68w2t0wbrGnxSIUHzWs5bt,Lito Kirino,57,trap latino;trap;dembow
43DTA4Ai9jSFpLjOxOKXJW,Chuy Cuadras,23,corridos bélicos;corrido;corridos tumbados
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,79,dembow;urbano latino;latin
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,59,reggaeton chileno
7mVQGK5j4VKkAvdOhUotB1,Fernandezz,63,neoperreo
5wUO3A6DT4tO5UDz21kE2Y,Neutro Shorty,64,trap latino;latin hip hop
0B4uq7LA4vdVwFPDoOcVtw,Jey One,63,dembow
5lFhCi03HDneWzvCxGctrT,Jory Boy,73,reggaeton;trap latino
5xkFVS6IwwgHEAaRzXc9U3,Tay Keith,58,
7qYeIN2r4H1kBvr0Gm9Iav,Randy Nota Loca,72,reggaeton
0TnOYISbd1XYRBk9myaseg,Pitbull,86,
6pV5zH2LzjOUHaAvENdMMa,Neton Vega,87,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico
3ghRXw2nUEH2THaL82hw8R,La K'onga,68,cuarteto;cumbia
4LyGCVZ22bGCY4BaW04Uyl,Mackie,59,reggaeton
2Uj01M8Uqm5eJ1ieHyvlaO,Compa Steve,30,corridos tumbados;corrido
