name,popularity,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Weighted Degree
Anuel AA,89,4,0.416959,0.466457,50424.078199,0.829189,93,136
Arcángel,86,4,0.431942,0.489916,78088.209913,1,127,192
Bad Bunny,98,5,0.410203,0.456583,34479.052566,0.626206,72,99
Banda MS de Sergio Lizárraga,81,5,0.318097,0.341779,15237.322579,0.040326,22,25
Banda Tierra Sagrada,62,7,0.219274,0.237139,17802.84629,0.007869,17,20
Bb trickz,62,5,0.283131,0.30021,13045.512379,0.015428,15,18
Becky G,77,5,0.397594,0.446373,65071.782171,0.449527,76,90
bic,33,1,1,1,5,0.001486,4,5
Bizarrap,81,5,0.392092,0.429482,19966.461663,0.34023,42,71
Cazzu,76,5,0.375869,0.423978,19381.795851,0.519576,66,78
Cris MJ,83,5,0.363248,0.397661,19295.48445,0.232108,43,57
Daddy Yankee,89,5,0.392869,0.446513,41084.701456,0.648485,87,121
Duki,81,5,0.40339,0.454692,96778.584303,0.459513,102,149
Eladio Carrion,81,5,0.420941,0.472829,44043.03861,0.834986,93,145
Emilia,76,6,0.330556,0.363978,14242.219799,0.110631,40,55
Eslabon Armado,78,5,0.334458,0.358557,7289.109177,0.077871,19,30
Feid,88,5,0.391061,0.443151,29239.939153,0.671946,77,118
Fuerza Regida,92,4,0.37269,0.410364,37762.806072,0.205475,61,97
Gabito Ballesteros,82,5,0.361153,0.396022,21518.90626,0.160073,43,82
Grupo Firme,83,5,0.341659,0.375686,46911.635415,0.082022,44,49
Grupo Frontera,86,5,0.376344,0.411849,20671.525228,0.232324,35,59
Junior H,90,5,0.357357,0.394412,23952.533447,0.149663,43,78
KAROL G,89,5,0.382268,0.431653,29199.187492,0.525159,68,94
KHEA,74,6,0.351447,0.399664,38654.455796,0.22145,75,108
La Adictiva,72,5,0.314482,0.336373,13794.483496,0.039997,20,21
La Arrolladora Banda El Limón De Rene Camacho,83,6,0.259034,0.276303,8297.704593,0.008059,10,10
Laura sad,34,1,1,1,1,0.000696,2,2
Los 2 de la S,57,6,0.261022,0.277115,4423.048854,0.009518,10,12
Luis R Conriquez,83,5,0.360934,0.404216,59537.485606,0.175431,72,109
Milo j,85,5,0.350515,0.38444,33160.877052,0.128015,45,62
Mora,83,5,0.380192,0.426204,16324.878707,0.567314,63,89
Myke Towers,87,5,0.425152,0.473599,40496.080613,0.799742,86,138
Natanael Cano,86,5,0.379222,0.418852,42499.220131,0.227335,54,92
Nicki Nicole,75,5,0.385113,0.42416,23703.521952,0.297252,53,78
Oscar Maydon,84,5,0.355436,0.39,19831.082197,0.145188,42,80
Ozuna,89,5,0.384989,0.442003,36500.344237,0.70213,96,132
Paulo Londra,77,6,0.348565,0.381527,14899.504307,0.194116,33,39
Peso Pluma,89,4,0.396007,0.432563,34093.554251,0.283726,46,91
Quevedo,84,5,0.377179,0.419342,25407.912179,0.43655,57,87
Rauw Alejandro,90,5,0.387244,0.442773,37064.395193,0.675418,88,119
Rojuu,62,7,0.237667,0.268117,43830.37523,0.023748,45,53
Saramalacara,58,6,0.266936,0.28514,17739.932409,0.011515,14,17
Sech,80,5,0.395086,0.444272,15320.402258,0.783564,74,133
Tainy,80,5,0.39119,0.43951,24276.696203,0.555585,68,98
Tito Double P,86,5,0.338549,0.366653,6843.325754,0.090577,25,46
Yandel,79,5,0.420792,0.476331,42161.765347,0.933578,110,160
Young Miko,78,5,0.362363,0.412731,24128.05693,0.467962,65,78
YOVNGCHIMI,70,5,0.360497,0.410532,22445.463447,0.473396,68,98
Ysrael Barajas,63,6,0.258921,0.281148,23427.239336,0.016622,30,34
Ñengo Flow,83,5,0.394301,0.460728,66388.578806,0.740881,127,165
Foreign Teck,57,5,0.322931,0.343852,56.07424,0.102843,6,7
Blessd,85,5,0.352802,0.386036,3295.350803,0.236444,27,38
Cheo Gallego,49,6,0.260622,0.275224,0,0.009913,4,4
NATTI NATASHA,73,6,0.342249,0.37528,889.199837,0.279183,19,23
ORO600,51,6,0.300126,0.32021,0,0.039334,5,10
Arsenal De Guerra,18,6,0.26527,0.279678,0,0.00752,1,1
Playero,56,6,0.279212,0.297661,0,0.021101,1,1
Fast & Furious: The Fast Saga,61,6,0.30552,0.32493,0,0.044982,2,2
Banda Carnaval,63,6,0.254763,0.267283,0,0.004515,2,2
Lil Wayne,88,5,0.31357,0.331345,0,0.051208,2,2
Amaro,55,6,0.295873,0.324664,7044.403209,0.071847,17,17
Cardi B,82,5,0.309091,0.326527,31.88412,0.0318,2,2
Gigolo Y La Exce,64,5,0.30893,0.327955,3.163755,0.058148,3,4
Esteban Gabriel,56,6,0.275017,0.288515,0,0.008402,1,1
Wise,44,5,0.309573,0.333137,0,0.095608,9,9
Ovy On The Drums,84,5,0.346535,0.377703,1490.195537,0.208217,16,30
Alemán,79,4,0.35,0.370588,3920.019719,0.079471,11,17
Santino Villarruel,34,6,0.261079,0.273473,0,0.006062,2,2
Tom Morello,66,6,0.266219,0.28493,0,0.017681,4,4
Fido,24,6,0.296241,0.313431,0,0.028725,1,1
Moffa,41,6,0.301877,0.326835,203.518879,0.049712,5,5
DJ Nelson,70,5,0.348157,0.378137,781.648939,0.223938,16,16
Octubre Doce,40,6,0.241379,0.250588,0,0.002128,1,1
Galee Galee,56,6,0.239437,0.247857,0,0.001976,2,2
Orslok,45,8,0.192059,0.203949,0,0.002273,1,1
El Mimoso Luis Antonio López,67,6,0.268866,0.284888,339.292191,0.011576,8,8
Carín León,85,6,0.289327,0.307311,0,0.021828,3,5
Nicky Jam,83,5,0.36968,0.408319,3697.603123,0.470385,34,41
CDobleta,63,5,0.327193,0.353025,252.119294,0.116146,11,17
KARBeats,60,6,0.29131,0.31028,0,0.055358,4,4
Pressure 9X19,59,5,0.318097,0.33972,326.314165,0.087123,9,14
Candelita,37,6,0.239292,0.248011,0,0.002008,1,1
